기업명,설립연차_지울거,기업규모,설립연도,업종,본사_주소,최저_연봉,최고_연봉,평균_연봉,년도,
(주)제이슨,업력 9년차,중소기업,2017년 4월 11일 설립,시스템 소프트웨어 개발 및 공급업,"서울 마포구 양화로 61, 7층, 8층 (서교동,두암빌딩)","3,395만원","7,713만원","5,988만원",2017년,
(주)엔디소프트,,중소기업,2012년8월2일,소프트웨어 개발,부산 해운대구 우동,,,,2012년,
(주)아크릴,업력 15년차,중소기업,2011년 3월 22일 설립,시스템 소프트웨어 개발 및 공급업,"서울 강남구 선릉로 704, 11층 (청담동,청담벤처프라자)","3,134만원","7,540만원","5,482만원",2011년,
(주)트리플하이엠,업력 22년차,중소기업,2004년 10월 1일 설립,광고 대행업,서울 금천구,"2,900만원","6,486만원","4,744만원",2004년,
(주)퍼포먼스바이티비더블유에이,업력 8년차,중소기업,2018년 6월 19일 설립,광고 대행업,"서울 중구 세종대로 39, 5층 (남대문로4가,서울상공회의소회관)","2,893만원","6,520만원","4,732만원",2018년,
더큼(주),업력 3년차,중소기업,2023년 1월 5일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 남부순환로 2621, 1204호 (도곡동,디앤오강남빌딩)","2,568만원","5,205만원","3,951만원",2023년,
디포커스(주),,중소기업,2001년04월10일,응용 소프트웨어 개발 및 공급업,서울 성동구 성수이로,,,,2001년,
(주)클루커스,중소기업,중소기업,2018년11월09일,컴퓨터시스템 통합 자문 및 구축 서비스업,"서울 강남구 논현로75길 6 (역삼동,에비뉴75)","2,910만원","6,814만원","4,743만원",2018년,
(주)파스업,중소기업,중소기업,2024년07월09일,응용 소프트웨어 개발 및 공급업,"서울 구로구 디지털로26길 43, 7층 엘704호 2번방 (구로동,대륭포스트타워8차)",,,,2024년,
주식회사 빅밸류,업력 11년차,중소기업,2015년 5월 21일 설립,시스템 소프트웨어 개발 및 공급업,"대구 북구 호암로 51, 207호-210호 (침산동,메이커스페이스동)","3,483만원","7,837만원","6,182만원",2015년,
(주)딥브레인에이아이,,중소기업,2016년06월29일,데이터베이스 및 온라인정보 제공업,서울 강남구 역삼로,"4,306만원","8,907만원","8,171만원",2016년,
(주)디케이테크인,업력 11년차,대기업,2015년 8월 6일 설립,응용 소프트웨어 개발 및 공급업,"경기 성남시 분당구 판교역로 235, 3층 (삼평동,에이치스퀘어 엔동)","3,101만원","6,967만원","5,677만원",2015년,
(주)포지큐브,업력 9년차,중소기업,2017년 5월 18일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 테헤란로14길 16, 10층 (역삼동,라인빌딩)","3,686만원","7,986만원","6,646만원",2017년,
(주)밀리웨이,업력 2년차,중소기업,2024년 3월 6일 설립,데이터베이스 및 온라인정보 제공업,"서울 마포구 신촌로12나길 36, 6층","3,871만원","7,313만원","6,690만원",2024년,
(주)웅진,업력 43년차,중견기업,1983년 3월 21일 설립,지주회사,"서울 중구 청계천로 24 (다동,케이스퀘어시티)",,,,1983년,
(주)스카이월드와이드,,중소기업,2013년10월28일,응용 소프트웨어 개발 및 공급업,서울 강남구 테헤란로,"2,919만원","7,240만원","4,915만원",2013년,
(주)크래프톤,업력 19년차,중견기업,2007년 3월 26일 설립,게임 소프트웨어 개발 및 공급업,서울 강남구 테헤란로 231,"4,867만원","10,799만원","9,743만원",2007년,
㈜와이즈넛,,중소기업,2000년05월16일,시스템 소프트웨어 개발 및 공급업,경기 성남시 분당구 대왕판교로,"3,116만원","7,588만원","5,532만원",2000년,
(주)시큐어포인트,,중소기업,2020년01월14일,시스템 소프트웨어 개발 및 공급업,서울 강남구 테헤란로,"3,334만원","7,531만원","5,806만원",2020년,
(주)엔미디어플랫폼,업력 21년차,대기업,2005년 10월 19일 설립,응용 소프트웨어 개발 및 공급업,서울 송파구,"3,452만원","7,848만원","6,576만원",2005년,
(주)이크레더블,,중견기업,2001년08월06일,데이터베이스 및 온라인정보 제공업,서울 구로구 디지털로,"3,418만원","7,536만원","6,225만원",2001년,
(주)데이터마케팅코리아,업력 9년차,중소기업,2017년 3월 14일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"서울 강남구 선릉로 602, 8층 (삼성동,삼릉빌딩)",,,,2017년,
(주) 원프레딕트,,중소기업,2016년10월26일,응용 소프트웨어 개발 및 공급업,서울 강남구 언주로,,,,2016년,
올거나이즈코리아(주),업력 8년차,중소기업,2018년 5월 10일 설립,데이터베이스 및 온라인정보 제공업,"서울 강남구 테헤란로20길 5, 4층, 5층","4,259만원","9,083만원","8,248만원",2018년,
(주)에스앤제이코어,,중소기업,2015년01월27일,의료용품 도매업,서울 강남구 영동대로,"2,657만원","5,879만원","4,187만원",2015년,
(주)씨앤케이피,,중소기업,2004년9월15일,비주거용 건물 개발 및 공급업,서울 송파구 송파대로,,,,2004년,
(주)시스트란,업력 8년차,중소기업,2018년 12월 18일 설립,응용 소프트웨어 개발 및 공급업,"대전 서구 둔산중로 8, 10층 (탄방동,한국교직원공제회)","3,458만원","8,100만원","6,877만원",2018년,
(주)한국사업자경험,,중소기업,2019년07월31일,광고 대행업,서울 강남구 테헤란로,"2,987만원","6,673만원","5,070만원",2019년,
주식회사클럽콘크리트,,중소기업,2023년7월27일,솔루션·SI·ERP·CRM,서울 서초구 사임당로8길 13 제일빌딩,,,,2023년,
메가존소프트(주),업력 5년차,중견기업,2021년 9월 9일 설립,응용 소프트웨어 개발 및 공급업,"경기 과천시 과천대로7길 74, 4층 (갈현동,메가존산학연센터)","3,611만원","8,270만원","7,076만원",2021년,
(주)경동도시가스,,중견기업,2017년04월05일,"도시가스,배관공급/냉난방기기 도소매,무역/배관설비공사,에너지절약설비공사/창고/부동산 임대",울산 북구 염포로,"5,048만원","9,632만원","9,348만원",2017년,
(주)펀진,,중소기업,2006년06월19일,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 성동구 연무장,"3,894만원","8,430만원","7,250만원",2006년,
쓰리알이노베이션(주),,중소기업,2021년9월2일,응용 소프트웨어 개발 및 공급업,서울 서초구 매헌로,,,,2021년,
(주)카카오엔터테인먼트,,대기업,2010년07년20일,응용 소프트웨어 개발 및 공급업,경기 성남시 분당구 판교역,"3,858만원","9,606만원","9,014만원",2010년,
메가존클라우드(주),,중견기업,2018년7월3일,솔루션/SI/ERP/CRM,"서울 강남구 논현로85길 46, 4층, 5층","3,874만원","8,393만원","7,146만원",2018년,
(주)오디너리크파트너스,업력 5년차,중소기업,2021년 8월 2일 설립,경영 컨설팅업,"서울 강남구 테헤란로 415, 2층 205호 (삼성동,스파크플러스)","2,972만원","5,796만원","4,363만원",2021년,
(주)미소정보기술,업력 20년차,중소기업,2006년 2월 23일 설립,응용 소프트웨어 개발 및 공급업,"경기 과천시 과천대로12길 117, G동 1402호","3,177만원","7,225만원","5,736만원",2006년,
(주)지지옥션,업력 26년차,중소기업,2000년 5월 24일 설립,데이터베이스 및 온라인정보 제공업,서울 용산구 청파로49길 3,"2,938만원","5,931만원","4,918만원",2000년,
(주)휴머스온,업력 4년차,중소기업,2022년 10월 4일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 선릉로 433, 10층 (역삼동,세방빌딩)","3,179만원","7,243만원","5,734만원",2022년,
(주)메이아이,업력 7년차,중소기업,2019년 3월 5일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 삼성로85길 26, 5층 (대치동,브이앤에스빌딩)","3,469만원","8,132만원","6,923만원",2019년,
(주)이너버스,업력 25년차,중소기업,2001년 10월 26일 설립,시스템 소프트웨어 개발 및 공급업,"서울 영등포구 양평로21길 26, 1604호 1605호 1606호 1607호 (양평동5가,아이에스비즈타워)","3,393만원","7,695만원","5,982만원",2001년,
"(주)브레이브모바일(숨고, Soomgo)",,중소기업,2014년12월9일,시스템ㆍ응용 소프트웨어 개발 및 공급업,서울 강남구 테헤란로,"3,079만원","7,118만원","5,472만원",2014년,
(주)메이사,,중소기업,2017년11월28일,시스템 소프트웨어 개발 및 공급업,서울 강남구 봉은사로,"3,664만원","8,231만원","6,667만원",2017년,
(주)라스커,업력 2년차,중소기업,2024년 3월 19일 설립,응용 소프트웨어 개발 및 공급업,"대전 유성구 문지로 193, T동 236호 (문지동,카이스트 문지캠퍼스 진리관)","2,280만원","5,296만원","2,874만원",2024년,
(주)한국에스리,,중소기업,2013년4월12일,"컴퓨터 및 주변장치, 소프트웨어 도매업",서울 강남구 테헤란로,"3,462만원","7,566만원","6,341만원",2013년,
주식회사 에스티씨랩,,중소기업,2020년 06월 02일,응용 소프트웨어 개발 및 공급업,"서울 강남구 봉은사로37길 5, 2층 (논현동,캠프지)","3,434만원","7,843만원","6,519만원",2020년,
(주)크레이버코퍼레이션,업력 12년차,중소기업,2014년 6월 25일 설립,화장품 및 화장용품 도매업,"서울 강남구 테헤란로 129, 11층, 12층 (역삼동,강남엔타워)","3,057만원","6,666만원","5,257만원",2014년,
(주)채널코퍼레이션,업력 12년차,중소기업,2014년 1월 10일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 논현로 508, 7층, 8층 (역삼동,지에스강남타워)","4,035만원","9,593만원","8,417만원",2014년,
(주)업스테이지,,중소기업,2020년10월05일,응용 소프트웨어 개발 및 공급업,경기 용인시 수지구 광교중앙로,"4,371만원","10,159만원","8,631만원",2020년,
가이드웨이컨설팅,,중소기업,2005년 8월 4일 설립,솔루션·SI·ERP·CRM,경기 김포시 양촌읍 양곡1로56번길 34,,,,2005년,
유카시스템(주),,중소기업,2011년12월27일,전기경보 및 신호장치 제조업,경기 고양시 덕양구,,,,2011년,
(주)베스텔라랩,업력 8년차,중소기업,2018년 8월 16일 설립,데이터베이스 및 온라인정보 제공업,"경기 성남시 분당구 판교로289번길 20, 2동 5층 공동보육실 (삼평동,경기중소기업캠퍼스)","2,915만원","6,305만원","4,753만원",2018년,
(주)모빌린트,업력 7년차,중소기업,2019년 4월 17일 설립,자연과학 및 공학 융합 연구개발업,"서울 강남구 선릉로93길 35, 3층","3,967만원","9,194만원","8,176만원",2019년,
(주)엠포스,업력 26년차,중소기업,2000년 11월 17일 설립,광고 대행업,"서울 서초구 방배로 285, 4층 (방배동,한샘방배빌딩)",,,,2000년,
리디(주),업력 18년차,중견기업,2008년 3월 31일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 테헤란로 325, 4층, 10층, 11층 (역삼동,어반벤치빌딩)","3,080만원","7,303만원","5,589만원",2008년,
(주)이스트소프트,업력 33년차,중소기업,1993년 9월 24일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 반포대로 3, 6층, 7층, 8층 (서초동,이스트빌딩)","3,081만원","7,289만원","5,481만원",1993년,
(주)두구다,업력 4년차,중소기업,2022년 4월 15일 설립,데이터베이스 및 온라인정보 제공업,"서울 서초구 강남대로 359, 1503호",,,,2022년,
(주)에스투더블유,업력 8년차,중소기업,2018년 9월 17일 설립,응용 소프트웨어 개발 및 공급업,"경기 성남시 분당구 판교역로192번길 12, 3층 (삼평동,판교미래에셋센터)","3,772만원","8,677만원","7,579만원",2018년,
(주)케이에스씨앤씨,업력 21년차,중소기업,2005년 5월 31일 설립,시스템 소프트웨어 개발 및 공급업,"서울 영등포구 선유로 146, 409호 (양평동3가,이앤씨드림타워)","3,084만원","7,289만원","5,344만원",2005년,
(주)네이블,,중견기업,2003년1월29일,응용 소프트웨어 개발 및 공급업,서울 강남구 봉은사로,"3,466만원","7,921만원","6,620만원",2003년,
(주)코비젼,,중소기업,2001년9월3일,솔루션·SI·CRM·ERP,서울 강서구 마곡중앙,,,,2001년,
에이아이콴텍 주식회사,업력 9년차,중소기업,2017년 3월 7일 설립,기타 금융 투자업,"서울 영등포구 여의대로 14, 14층 (여의도동,케이티타워)","4,078만원","8,936만원","7,421만원",2017년,
시큐레터(주),,중소기업,2015년9월10일,시스템 소프트웨어 개발 및 공급업,"경기 성남시 수정구 금토로80번길 11, 14층 1401호 (금토동,판교이노베이션랩)","3,656만원","8,215만원","6,636만원",2015년,
(주)이글루코퍼레이션,업력 27년차,중소기업,1999년 11월 2일 설립,그 외 기타 정보 서비스업,"서울 송파구 정의로8길 7 (문정동,한스빌딩)","2,905만원","6,683만원","4,698만원",1999년,
(주)씨드앤,업력 11년차,중소기업,2015년 5월 21일 설립,시스템 소프트웨어 개발 및 공급업,"서울 성동구 왕십리로 115, 605호, 606호",,,,2015년,
엔카닷컴(주),업력 12년차,중견기업,2014년 4월 3일 설립,데이터베이스 및 온라인정보 제공업,"서울 중구 통일로2길 16, 18층,19층 (순화동,에이아이에이타워)","3,111만원","6,949만원","5,517만원",2014년,
(주)인텔리코드,,중소기업,2009년11월4일,유선 온라인 게임 소프트웨어 개발 및 공급업,경기 수원시 영통구,"3,109만원","7,115만원","5,576만원",2009년,
블루닷(주),,중소기업,2019년8월12일,시스템 소프트웨어 개발 및 공급업,대전 서구 둔지로,"3,602만원","8,252만원","6,842만원",2019년,
탑원에이아이(주),,중소기업,2023년9월25일,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 마포구 양화로,,,,2023년,
한국딥러닝(주),업력 7년차,중소기업,2019년 5월 20일 설립,시스템 소프트웨어 개발 및 공급업,"서울 서초구 강남대로89길 30 (반포동,르헤브빌딩)",,,,2019년,
(주)엠더블유네트웍스,업력 10년차,중소기업,2016년 5월 20일 설립,"전시, 컨벤션 및 행사 대행업","서울 강남구 논현로 704, 4층","2,959만원","6,257만원","5,003만원",2016년,
(주)기어세컨드,업력 5년차,중소기업,2021년 5월 28일 설립,모바일 게임 소프트웨어 개발 및 공급업,"서울 마포구 홍익로 25, 3층","3,075만원","6,745만원","5,296만원",2021년,
(주)에스피파트너스,업력 11년차,중소기업,2015년 11월 30일 설립,시스템 소프트웨어 개발 및 공급업,"경북 경산시 백자로 111, 451호 (사동,예담)","2,812만원","6,508만원","4,316만원",2015년,
(주)에너자이,,중소기업,2019년1월29일,응용 소프트웨어 개발 및 공급업,서울 강남구 테헤란로,,,,2019년,
(주)그루텍,,중소기업,2019년10월28일,응용 소프트웨어 개발 및 공급업,서울 송파구 법원로,"2,553만원","5,354만원","3,143만원",2019년,
(주)딥노이드,,중소기업,2008년2월15일,응용 소프트웨어 개발 및 공급업,서울 구로구 디지털로,"3,103만원","7,385만원","5,569만원",2008년,
(주)리마커블교육,업력 7년차,중소기업,2019년 6월 26일 설립,그 외 기타 분류 안된 사업지원 서비스업,"경기 성남시 수정구 복정로 9, 5층","2,627만원","5,542만원","4,147만원",2019년,
(주)소타텍코리아,업력 4년차,중소기업,2022년 12월 16일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 테헤란로21길 5, 6층 (역삼동,이너스타워)","2,977만원","6,783만원","5,088만원",2022년,
(주)이지서티,,중소기업,2002년8월12일,솔루션/SI/ERP/CRM,서울 강남구 선릉로,,,,2002년,
(주)쓰리아이,업력 10년차,중소기업,2016년 12월 30일 설립,응용 소프트웨어 개발 및 공급업,"대구 동구 동대구로 465, 903호 (신천동,대구스케일업허브)","3,627만원","7,960만원","7,107만원",2016년,
(주)아이이에이,,중소기업,2019년10월25일,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 송파구 법원로,"2,581만원","6,229만원","3,933만원",2019년,
팀스파르타(주),,중소기업,2020년3월26일,기타 교육지원 서비스업,서울 강남구 테헤란로,"2,572만원","5,466만원","4,006만원",2020년,
(주)뷰런테크놀로지,업력 7년차,중소기업,2019년 10월 10일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 강남대로 311, 1919호","3,051만원","7,029만원","5,370만원",2019년,
(주)플래티어,업력 21년차,중소기업,2005년 2월 24일 설립,응용 소프트웨어 개발 및 공급업,"서울 송파구 법원로9길 26, 디동 제6층 (문정동,에이치비지니스파크)","3,301만원","7,498만원","6,097만원",2005년,
(주)디에스앤지,,중소기업,2003년2월12일,"컴퓨터 및 주변장치, 소프트웨어 도매업",서울 영등포구 경인로,"3,728만원","7,910만원","6,773만원",2003년,
콘텐츠웨이브(주),업력 14년차,대기업,2012년 5월 16일 설립,"영화, 비디오물 및 방송프로그램 배급업","서울 영등포구 여의나루로 60, 19층 (여의도동,여의도포스트타워)","4,334만원","10,149만원","8,420만원",2012년,
렉슨(주),업력 4년차,중소기업,2022년 1월 4일 설립,데이터베이스 및 온라인정보 제공업,"충북 청주시 청원구 향군로 155-1 (내덕동,라리빌딩)",,,,2022년,
(주)브이피피랩,업력 5년차,중소기업,2021년 1월 27일 설립,기타 정보기술 및 컴퓨터운영 관련 서비스업,"제주 제주시 첨단로 330, 에이동 씨-107호 (영평동,세미양빌딩)","3,349만원","7,160만원","5,850만원",2021년,
(주)유베이스,,중견기업,1998년12월18일,콜센터 및 텔레마케팅 서비스업,서울 용산구 한강대로,"2,473만원","4,472만원","3,194만원",1998년,
주식회사 페이블랩,업력 2년차,중소기업,2024년 1월 15일 설립,포털·인터넷·컨텐츠,서울 서초구 강남대로93길 14 드림서퍼 1층,"3,776만원","7,697만원","6,661만원",2024년,
(주)슈프리마,업력 11년차,중소기업,2015년 12월 31일 설립,유선 통신장비 제조업,경기 성남시 분당구 정자일로 (경기 성남시 분당구 정자동),,,,2015년,
(주)빗썸코리아,업력 12년차,중소기업,2014년 1월 6일 설립,전자상거래 소매업,"서울 강남구 테헤란로 124, 15층, 16층 (역삼동,삼원빌딩)","4,378만원","10,125만원","8,703만원",2014년,
이니텍(주),업력 29년차,대기업,1997년 6월 13일 설립,시스템 소프트웨어 개발 및 공급업,"서울 구로구 디지털로26길 61, 11층 (구로동,에이스하이앤드2차)","3,425만원","7,714만원","6,028만원",1997년,
아일리스프런티어(주),,중소기업,2013년11월18일,응용 소프트웨어 개발 및 공급업,서울 종로구 종로,"3,461만원","8,109만원","6,890만원",2013년,
베스핀글로벌(주),업력 11년차,중소기업,2015년 10월 19일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"서울 서초구 강남대로 327, 13층,14층,15층,16층 (서초동,대륭서초타워)",,,,2015년,
(주)비바이노베이션,업력 8년차,중소기업,2018년 1월 2일 설립,시스템 소프트웨어 개발 및 공급업,"서울 강남구 언주로 563, 비123호, 비124호, 비125호, 비126호 (역삼동,원에디션강남)","3,243만원","7,521만원","5,682만원",2018년,
(주)트루엔,업력 21년차,중소기업,2005년 1월 28일 설립,비디오 및 기타 영상기기 제조업,"서울 구로구 디지털로33길 28, 1108, 1309호 (구로동,우림이비즈센터빌딩)",,,,2005년,
(주)코레이즈홀딩스,업력 8년차,중소기업,2018년 11월 15일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"서울 성동구 연무장5길 9-16, 601,602,603호","2,587만원","6,163만원","3,932만원",2018년,
(주)진인프라,업력 20년차,중소기업,2006년 5월 4일 설립,통신ㆍ방송장비 및 부품 도매업,"서울 송파구 가락로16길 3-20 (석촌동,진인프라빌딩)","3,124만원","6,938만원","5,442만원",2006년,
(주)나눔스페이스,업력 5년차,중소기업,2021년 12월 28일 설립,의학 및 약학 연구개발업,"전북 전주시 덕진구 건지로 20, 의과대학 1호관 236호 (금암동,전북대학교병원)","2,941만원","6,708만원","4,960만원",2021년,
(주)넥서스커뮤니티,,중소기업,1991년12월30일,응용 소프트웨어 개발 및 공급업,서울 영등포구,"3,709만원","8,443만원","7,382만원",1991년,
(주)액션파워,,중소기업,2016년1월12일,기타 IT/웹/통신,서울 관악구,,,,2016년,
(주)케이티디에스,업력 18년차,대기업,2008년 7월 23일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 서초구 효령로 176,"4,385만원","9,451만원","8,580만원",2008년,
(주)락코리아,업력 3년차,중소기업,2023년 4월 20일 설립,기타 정보기술 및 컴퓨터운영 관련 서비스업,"서울 중구 동호로24길 27-5, 4층 404호 (장충동2가,스페이스큐)",,,,2023년,
(주)크립토랩,업력 9년차,중소기업,2017년 12월 15일 설립,시스템 소프트웨어 개발 및 공급업,"서울 관악구 관악로 1, 27동 404호 (신림동,서울대학교자연과학대학)",,,,2017년,
(주)마인즈앤컴퍼니,,중소기업,2017년11월29일,경영 컨설팅업,서울 강남구,"3,788만원","8,275만원","7,425만원",2017년,
(주)유비씨,업력 16년차,중소기업,2010년 4월 30일 설립,응용 소프트웨어 개발 및 공급업,"경기 안양시 동안구 시민대로248번길 25, 404호, 1001호, 1004호, 1005호, 1006호 (관양동,안양산업진흥원)","2,891만원","6,834만원","4,800만원",2010년,
(주)스마트인사이드에이아이,업력 8년차,중소기업,2018년 3월 14일 설립,건물 및 토목 엔지니어링 서비스업,"경기 수원시 장안구 서부로 2066, 제2공학관 27210호 (천천동,성균관대학교)","2,590만원","5,892만원","4,011만원",2018년,
(주)와따에이아이,업력 7년차,중소기업,2019년 4월 29일 설립,응용 소프트웨어 개발 및 공급업,"전북 전주시 완산구 홍산로 269, 3층 396호","3,600만원","8,166만원","7,018만원",2019년,
(주)휴톰,,중소기업,2017년5월16일,솔루션·SI·CRM·ERP,서울 마포구,,,,2017년,
(주)네트로,업력 14년차,중소기업,2012년 7월 16일 설립,응용 소프트웨어 개발 및 공급업,"대구 수성구 알파시티1로42길 11, 809호,810호,811호, 812호 (대흥동,태왕알파시티수성 지식산업센터)","3,010만원","6,858만원","5,205만원",2012년,
(주)비바리퍼블리카,업력 13년차,중소기업,2013년 4월 23일 설립,그 외 기타 금융 지원 서비스업,"서울 강남구 테헤란로 142, 4층, 10층, 11층, 12층, 13층, 22층, 23층 (역삼동,아크플레이스)","5,059만원","10,057만원","8,747만원",2013년,
(주)씨이랩,업력 16년차,중소기업,2010년 7월 27일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 언주로 617, 3,4층",,,,2010년,
(주)두들린,,중소기업,2020년3월12일,솔루션/SI/ERP/CRM,"서울 강남구 강남대로 476, 13층",,,,2020년,
(주)카카오페이,업력 9년차,대기업,2017년 4월 3일 설립,그 외 기타 금융 지원 서비스업,"경기 성남시 분당구 판교역로 166, B동 15층 (백현동,카카오판교아지트)","4,294만원","10,016만원","8,257만원",2017년,
엔에이치엔(주),,중견기업,2013년8월1일,유선 온라인 게임 소프트웨어 개발 및 공급업,경기 성남시 분당구,"4,231만원","9,914만원","8,243만원",2013년,
매드업,업력 11년차,중소기업,2015년 1월 29일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 서초대로74길 4, 20층 (서초동,삼성생명서초타워)","2,973만원","7,003만원","5,187만원",2015년,
(주)코아아이티,업력 14년차,중소기업,2012년 4월 2일 설립,컴퓨터 프로그래밍 서비스업,충북 청주시 청원구 오창읍 과학산업4로 8-6,"2,794만원","6,481만원","4,506만원",2012년,
(주)고우아이티,업력 16년차,중소기업,2010년 1월 21일 설립,응용 소프트웨어 개발 및 공급업,서울 성동구 아차산로5길 10,"3,184만원","7,305만원","5,754만원",2010년,
(주)사이버다임,업력 16년차,중소기업,2010년 11월 29일 설립,응용 소프트웨어 개발 및 공급업,"서울 송파구 올림픽로 299, 12층 (신천동,대한제당빌딩)","3,273만원","7,561만원","6,010만원",2010년,
(주)웰로,업력 5년차,중소기업,2021년 6월 17일 설립,데이터베이스 및 온라인정보 제공업,"세종 가름로 232, 4층 비406","3,009만원","6,480만원","5,105만원",2021년,
(주)파오스파트너스,,중소기업,2004년5월13일,응용 소프트웨어 개발 및 공급업,"서울 용산구 한남대로21길 17, 5층 (한남동,신화빌딩)",,,,2004년,
(주)엑셈,업력 12년차,중소기업,2014년 8월 21일 설립,시스템 소프트웨어 개발 및 공급업,서울 강서구 마곡중앙8로5길 (서울 강서구 마곡동),"3,417만원","8,341만원","6,162만원",2014년,
서울대학교병원,업력 48년차,기타,1978년 7월 15일 설립,종합 병원,서울 종로구 대학로 101,"3,263만원","6,082만원","5,248만원",1978년,
(주)이분,,중소기업,2018년5월30일,기타 서비스업,서울 강남구,,,,2018년,
(주)엑소시스템즈,업력 9년차,중소기업,2017년 1월 4일 설립,전기식 진단 및 요법 기기 제조업,"경기 성남시 수정구 창업로 43, A동 803호 (시흥동,판교글로벌비즈센터)",,,,2017년,
(주)아이브릭스,업력 10년차,중소기업,2016년 7월 4일 설립,응용 소프트웨어 개발 및 공급업,"경기 성남시 분당구 판교로255번길 74, 5층",,,,2016년,
(주)데이터누리,업력 8년차,중소기업,2018년 10월 17일 설립,응용 소프트웨어 개발 및 공급업,"서울 강서구 마곡중앙1로 20, 516호, 901호, 902호 (마곡동,마곡엠시그니처)","3,110만원","7,199만원","5,584만원",2018년,
(주)투이컨설팅,업력 30년차,중소기업,1996년 3월 16일 설립,응용 소프트웨어 개발 및 공급업,"서울 영등포구 영신로 220, 1710호 (영등포동8가,케이엔케이디지털타워)","3,691만원","9,048만원","7,325만원",1996년,
(주)엘리스그룹,업력 11년차,중소기업,2015년 11월 11일 설립,김재원,서울 강남구 선릉로 433 세방빌딩. 신관 6층(역삼동),,,,2015년,
한국표준협회,업력 64년차,기타,1962년 3월 13일 설립,일반 서적 출판업,서울 강남구 테헤란로69길 5,,,,1962년,
(주)메이머스트,업력 10년차,중소기업,2016년 6월 28일 설립,유선 통신장비 제조업,"서울 강남구 테헤란로 143, 3층 (역삼동,고운빌딩)","3,443만원","7,556만원","6,248만원",2016년,
(주)티벨,,중소기업,2015년5월18일,솔루션/SI/ERP/CRM,서울 강남구,,,,2015년,
(주)씨알에스큐브,,중소기업,2011년5월19일,응용 소프트웨어 개발 및 공급업,서울 마포구,"3,308만원","8,015만원","6,123만원",2011년,
(주)씨앤에이아이,업력 7년차,중소기업,2019년 10월 24일 설립,응용 소프트웨어 개발 및 공급업,"대전 유성구 반석로 7, 404호 (반석동,애니빌프라자)","3,475만원","8,141만원","6,947만원",2019년,
(주)바이스벌사,업력 3년차,중소기업,2023년 1월 3일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 강남대로 311, 8층 822호 (서초동,한화생명보험빌딩)","3,414만원","7,696만원","6,434만원",2023년,
(주)트라이얼인포매틱스,업력 6년차,중소기업,2020년 12월 31일 설립,응용 소프트웨어 개발 및 공급업,"서울 송파구 위례성대로 6, 1307호, 1308호, 1309호, 1310호, 1311호, 1312호 (방이동,현대토스)","3,043만원","7,011만원","5,338만원",2020년,
(주)누리미디어,,중소기업,2017년6월1일,데이터베이스 및 온라인정보 제공업,서울 마포구,,,,2017년,
(주)엠트리센,업력 9년차,중소기업,2017년 7월 7일 설립,경영 컨설팅업,"서울 금천구 벚꽃로 286, 1207호 (가산동,삼성리더스타워)","3,618만원","7,529만원","6,917만원",2017년,
(주)아이브,업력 6년차,중소기업,2020년 2월 18일 설립,시스템 소프트웨어 개발 및 공급업,"경기 용인시 수지구 광교중앙로 338, 에이동 512호, 알115 (상현동,광교우미뉴브)","3,980만원","8,556만원","7,704만원",2020년,
(주)어반데이터랩,,중소기업,2019년11월6일,컴퓨터 프로그래밍 서비스업,대전 유성구,"3,269만원","7,243만원","5,763만원",2019년,
(주)경일게임아이티아카데미,업력 16년차,중소기업,2010년 1월 22일 설립,기타 기술 및 직업훈련학원,"서울 강동구 올림픽로 651, 4층, 5층, 6층, 10층 (천호동,예경빌딩)",,,,2010년,
(주)뉴엔에이아이,업력 22년차,중소기업,2004년 5월 31일 설립,응용 소프트웨어 개발 및 공급업,"경기 고양시 일산서구 킨텍스로 240, 오피스동 24층 (대화동,킨텍스 꿈에그린)","3,071만원","7,106만원","5,441만원",2004년,
(주)시어스랩,,중소기업,2014년5월26일,응용 소프트웨어 개발 및 공급업,서울 서초구,"3,795만원","8,660만원","7,653만원",2014년,
(주)모빅랩,업력 9년차,중소기업,2017년 10월 24일 설립,응용 소프트웨어 개발 및 공급업,"인천 연수구 송도미래로11번길 27, A동 1504호 (송도동,스마트스퀘어)","3,800만원","8,663만원","7,647만원",2017년,
