기업명,설립연차_지울거,기업규모,설립연도,업종,본사_주소,최저_연봉,최고_연봉,평균_연봉,년도,
기웅정보통신(주),업력 33년차,중소기업,1993년 4월 8일 설립,응용 소프트웨어 개발 및 공급업,서울 금천구,,,,1993년,
(주)딥바이오,업력 11년차,중소기업,2015년 10월 8일 설립,컴퓨터 프로그래밍 서비스업,"서울 구로구 디지털로33길 27, 609동 613호","3,730만원","8,054만원","6,783만원",2015년,
피엠인터내셔널코리아(유),,중소기업,2017년 3월 22일 설립,커피 및 차류 도매업,서울 영등포구,"2,902만원","5,988만원","4,700만원",2017년,
(주)포스웨이브,업력 13년차,중소기업,2013년 11월 20일 설립,컴퓨터 프로그래밍 서비스업,"경기 과천시 과천대로7길 33, A동 703호 (갈현동,디테크타워과천)","3,087만원","6,836만원","5,355만원",2013년,
(주)모비위드,업력 5년차,중소기업,2021년 8월 26일 설립,경영 컨설팅업,"서울 구로구 디지털로 272, 513호 (구로동,한신아이티타워)","3,534만원","7,562만원","6,642만원",2021년,
(주)팀프레시,,중소기업,2018년 5월 25일 설립,일반 화물자동차 운송업,서울 강남구,,,,2018년,
(주)티니어,,중소기업,2014년 4월 1일 설립,응용 소프트웨어 개발 및 공급업,서울 구로구,,,,2014년,
트리플더블주식회사,,중소기업,2023년 2월 1일 설립,포털·인터넷·컨텐츠,서울 영등포구 국제금융로 20 율촌빌딩,,,,2023년,
(주)메디씨앤씨,,중소기업,2000년 9월 4일 설립,"포털,컨텐츠,커뮤니티",서울 강남구,,,,2000년,
(주)데이터쿡,업력 5년차,중소기업,2021년 5월 6일 설립,컴퓨터 프로그래밍 서비스업,"서울 마포구 양화로 81, 3층 303호","3,088만원","6,955만원","5,337만원",2021년,
넥스트리서치(주),업력 6년차,중소기업,2020년 6월 19일 설립,시장조사 및 여론조사업,"서울 종로구 우정국로 68, 7층 (관훈동,동덕빌딩)","3,745만원","7,874만원","6,794만원",2020년,
(주)피트릭스,,중소기업,2020년 8월 4일 설립,응용 소프트웨어 개발 및 공급업,서울 강남구,,,,2020년,
(주)리브스메드,,중소기업,2011년 6월 1일 설립,의료기기 도매업,"경기 성남시 분당구 판교로 700, D동 304호 (야탑동,분당테크노파크)",,,,2011년,
딥퓨전에이아이(주),업력 4년차,중소기업,2022년 1월 21일 설립,전자상거래 소매업,"경북 경산시 대학로 280, 생산기술연구원 114호 (대동,영남대학교)","4,492만원","8,289만원","8,102만원",2022년,
(주)큐플레이스,업력 11년차,중소기업,2015년 5월 8일 설립,사업 및 무형 재산권 중개업,"서울 용산구 한강대로 366, 7층 712호 (동자동,트윈시티남산)",,,,2015년,
(주)뉴로코어,업력 8년차,중소기업,2018년 6월 21일 설립,시스템 소프트웨어 개발 및 공급업,"서울 강남구 테헤란로 322, 서관 806호 (역삼동,한신인터밸리24빌딩)","3,160만원","7,364만원","5,545만원",2018년,
(주)비지에프네트웍스,업력 17년차,중견기업,2009년 12월 7일 설립,광고 대행업,"서울 광진구 광나루로56길 85, 사무동 24층 1-13호 (구의동,테크노-마트21)","3,430만원","7,051만원","6,048만원",2009년,
