기업명,기업공고,지원방법,직업 관련,지역,경력,학위,정규직 유무
(주)그릿코퍼레이션,퍼포먼스 마케터 운영 경력직 모집 (1명/경력),입사지원,"마케팅기획, 마케팅전략, 블로그마케팅, 인플루언서마케팅, 체험마케팅",서울영등포구,경력2년↑,학력무관,정규직
(주)비바넥사,[마케팅본부] 브랜드 마케터 정규직 채용,입사지원,"마케팅기획, 마케팅전략, 광고마케팅, 디지털마케팅, 검색광고",서울성동구,경력무관,학력무관,정규직
(주)더오름,진취적으로 성공할 각오 됐다면 지금이 기회 마케팅 영업 실행,입사지원,"영업지원, 영업직, 광고영업, 영업마케팅, 영업전략",경기부천시,경력무관,고졸↑,위촉직
(주)문화진흥연구원,"정책연구, 학술연구 연구원, 채용 (정규직, 계약직)",입사지원,"연구원, R&D, 사회조사, 경영기획, 사업기획",대구동구,경력3년↑,대졸↑,정규직·기간제
(주)문화진흥연구원,"정책연구, 학술연구 연구원, 책임연구원 채용 (정규직, 계약직)",입사지원,"연구원, 사회조사, 경영기획, 사업기획, 컨설턴트",대구동구,경력2년↑,대졸↑,정규직·기간제
(주)화이트스캔,[프론트엔드 개발자] 경력직 채용,홈페이지 지원,"퍼블리셔, 프론트엔드, Bootstrap, HTML5, Javascript",서울용산구,경력3년↑,초대졸↑,정규직
(주)노크,(주식회사 노크) 솔루션 개발 담당자(경력) 채용,입사지원,"백엔드/서버개발, 앱개발, 시스템관리, 솔루션업체, 소프트웨어개발",서울성동구,경력2년↑,초대졸↑,정규직
(주)직방,[직방] Ads account manager (계약직),홈페이지 지원,"광고영업, 영업마케팅, 영업전략, 검색광고, 광고주관리",서울강남구,경력1년↑,대졸↑,계약직
(주)에스티인터내셔널코퍼레이션,[ST인터내셔널] 전략기획 경력직 채용,홈페이지 지원,"경영분석, 경영컨설팅, 경영혁신(PI), 데이터분석, 사업개발",서울강남구,경력4년↑,대졸↑,정규직
(주)테크로스환경서비스,(주)테크로스환경서비스 삼양패키징 광혜원 운영직 채용,입사지원,"전기기사, 환경관리자, 전기설계, 건축전기, 공조설비",충북진천군,경력무관,고졸↑,정규직
모티브링크(주),모티브링크(주) 연구소 시험팀 연구원 채용,입사지원,"실험보조, 기구설계, 전기, 회로설계, 전자",경기용인시 기흥구,경력무관,초대졸↑,정규직
에스디바이오센서(주),에스디바이오센서(주) 전기화학센서 개발자 채용,홈페이지 지원,"제약/바이오, 바이오",경기수원시 영통구,경력 3~10년,대졸↑,정규직
(주)미리디,Global Business Development Manager,홈페이지 지원,"사업기획, 전략기획, 경영분석, 리서치, 데이터분석",서울구로구,경력3년↑,대졸↑,정규직
(주)엠제이티,B2B 매체영업 경력 채용,입사지원,"영업관리, 솔루션기술영업, 영업마케팅, 영업전략, IT영업",경기광명시,경력1년↑,고졸↑,정규직
(주)마루에이치알,[영등포/외국계]UPS KOREA 본사 영업부 무역사무직 채용,입사지원,"문서작성, 사무보조, 사무행정, 서류관리, 자료입력",서울영등포구,경력무관,학력무관,계약직·파견직
(주)비상교육,서비스기획,홈페이지 지원,"사업기획, 서비스기획, 웹기획, 기획, 교재제작·출판",경기과천시,경력7년↑,초대졸↑,정규직
(주)유투바이오,(주)유투바이오 진단영업팀(진단검사 사업 관리) 채용,입사지원,"거래처관리, 거래처영업, 고객관리, 매장관리, 매출관리",서울송파구,신입·경력,대졸↑,정규직
(주)더캐리,(주)더캐리 물류부 물류운영 사원 모집,입사지원,"물류관리, 물류사무원, 의류·의상, 패션, 유아의류",경기파주시,경력무관,초대졸↑,정규직
(주)메디트,[MEDIT] Talent acquisition & development manager,홈페이지 지원,"아웃소싱, 인재발굴, 인사, 소프트웨어개발",서울영등포구,경력10년↑,대졸↑,정규직
(주)미리디,[미리캔버스] 디자인 디렉터,홈페이지 지원,"그래픽디자인, 디지털디자인, 로고디자인, 문구디자인, 배너디자인",서울구로구,경력3년↑,학력무관,정규직
앨트웰㈜,앨트웰(주) 상품기획 및 개발 경력직 채용공고,입사지원,"브랜드MD, 생활용품, 상품기획, 패션MD, 생활용품",서울강남구,경력3년↑,대졸↑,정규직
(주)하이멕,전기설비 진단 및 테스트 신입&경력 모집 (신뢰성),입사지원,"전기기사, 전기설계, 전기설비, 전기제어, 계전기",서울영등포구,경력무관,초대졸↑,정규직
(주)일렘테크놀러지,(주)일렘테크놀러지 기술연구소에서 R&D 분석 연구원,입사지원,"연구원, R&D, R&D기획, 기술연구, 알고리즘개발",전남여수시,신입·경력,대졸↑,정규직
가천대학교산학협력단,가천대학교 한의과대학 박사급 R&D연구원 모집,입사지원,"연구원, R&D기획, 기술연구, 동물실험, 미생물",경기성남시 수정구,경력무관,박사,무기계약직·계약직
(주)솔텍,연구소 연구원 정규직 채용,입사지원,"연구원, CRM(임상연구전문가), R&D, R&D기획, 기술연구",경기화성시,경력3년↑,초대졸↑,정규직
국립암센터,단백체 질량분석 과제연구원 모집,입사지원,"생명과학, 시료분석, 의약·제약, 의료·보건, 바이오",경기고양시 일산동구,경력 2~10년,석사↑,무기계약직·계약직
(주)헵스켐,폴리우레탄 및 고분자 합성 연구원 모집,입사지원,"고분자, 도료/페인트, 화학",경기시흥시,신입·경력,대졸↑,정규직
백산철강(주),나노 실리카 제품 개발 및 품질관리 연구원 모집-신입사원,입사지원,"연구원, R&D, 금속재료",경기안산시 단원구,신입,대졸↑,정규직
(주)서플라이스,[프레퍼스] 물류팀 구매 매니저,홈페이지 지원,"물류관리, 창고관리, 수불관리, 패킹(포장), 피킹(집품)",경기광명시,경력 3~5년,학력무관,정규직
(주)동진전기,(주)동진전기 기술연구소 연구원 모집,입사지원,"연구원, CRM(임상연구전문가), R&D, R&D기획, 기술연구",울산울주군,경력무관,대졸↑,정규직
(주)에프앤씨,[성수동] 제화 브랜드 영업관리AMD 채용,입사지원,"영업MD, 온라인MD, 매출관리, 상품관리, 상품분석",서울성동구,경력무관,초대졸↑,정규직
(주)푸드케어,[푸드케어] 식품회사 마케팅실 제품개발 팀장 신규채용,입사지원,"브랜드기획, 시장조사, 식품, CS관리, 마케팅기획",경기부천시 오정구,경력10년↑,대졸↑,정규직
숙명여자대학교산학협력단,숙명여자대학교 여성건강연구원 연구교수 채용,입사지원,"연구원, R&D, R&D기획, 기술연구, 동물실험",서울용산구,경력3년↑,박사,계약직
(주)케이앤피,[연구원] (주)케이앤피 연구소 회로설계엔지니어(경력자) 모집,입사지원,"연구원, R&D, R&D기획, 기술연구, 설계엔지니어",경북구미시,신입·경력,대졸↑,정규직
네이처런스(주),"생산직, 생산관리직 채용",입사지원,"생산관리, 생산, 건강보조식품, 바이오, 생명공학",충남공주시,경력무관,초대졸↑,정규직
(주)솔레오코스메틱,화장품 스킨케어 개발 경력 연구원 채용,입사지원,"연구원, 임상STAT, CRA(임상연구원), CRC(연구간호사), CRM(임상연구전문가)",경기화성시,경력 5~10년,대졸↑,정규직
(주)이연에프엔씨,[이연에프엔씨] 영업본부 운영팀 슈퍼바이저 및 오픈바이저 채용,입사지원,"가맹점관리, 슈퍼바이저, 프랜차이즈",서울강남구,경력무관,초대졸↑,정규직
(주)케어메디,의료기기 개발 연구원(실리카) 채용,입사지원,"신소재, 유해화학물질, 의료기기연구, 의약외품연구, 이화학시험",서울영등포구,신입·경력,대졸↑,정규직
(주)케어메디,의료기기 개발 연구원(전극소재개발),입사지원,"신소재, 유해화학물질, 의료기기연구, 의약외품연구, 이화학시험",서울영등포구,신입·경력,고졸↑,정규직
풀무원식품(주),풀무원 미국 법인 R&D 경력직 채용,홈페이지 지원,"연구원, 식품가공",미국,경력3년↑,대졸↑,정규직
(주) 피엔에이치테크,(주)피엔에이치테크(진천) 재료개발 연구원 정기채용,입사지원,"연구원, R&D, 유기합성, 석유화학, 화공약품",충북진천군,경력무관,대졸↑,정규직
트리노드 주식회사,[부산/경력 3년 이상] QA팀 - UX Researcher/UI/UX 분석가,입사지원,"UI/UX디자인, 리서치, UI/UX, 사용성테스트, UT",부산해운대구,경력3년↑,학력무관,정규직
(주) 에코베이스,[환경측정분석사] 수질분야 전문인력 채용,입사지원,"환경측정분석사, 수질분석, 시료분석, 수질환경기사, 산업플랜트",경기안양시 동안구,경력5년↑,학력무관,정규직·파트
극동전자정밀(주),극동전자정밀(주) 사업부 영업관리 정규직 채용,입사지원,"영업관리, 영업지원, 영업마케팅, 영업전략, 가맹점관리",인천서구,경력무관,초대졸↑,정규직
포항공과대학교산학협력단,[POSTECH] Apple제조업R&D지원센터 불량분석 랩 엔지니어,입사지원,"신소재, QA, 불량분석, LCD, LED",경북포항시 남구,경력3년↑,대졸↑,계약직
에너자이저코리아(주),할인점 영업관리자 (Territory Manager 신입가능),입사지원,"영업관리, 가맹점관리, 거래처관리, 고객관리, 매장관리",서울강남구,신입·경력,대졸↑,정규직
(주)글로벌의학연구센터,[화장품임상센터] 연구원(경력) 모집,입사지원,"CRA(임상연구원), CRM(임상연구전문가), 임상시험, 연구원, 임상시험",서울서초구,경력3년↑,대졸↑,정규직
(주)와이즈테크놀로지,Oracle 파트너사 IT기술영업·영업지원 직군 신규채용,입사지원,"기술영업, 영업관리, 영업지원, 솔루션기술영업, 시스템영업",대전유성구,경력무관,초대졸↑,정규직
자경케미칼(주),유기/고분자 합성 개발 연구원(신입),입사지원,"유기합성, 화학",충남천안시 서북구,신입,석사↑,정규직
포항공과대학교산학협력단,[POSTECH]Apple제조업R&D지원센터 불량분석랩 엔지니어(FIB-SEM),입사지원,"신소재, QA, 불량분석, LCD, LED",경북포항시 남구,경력3년↑,대졸↑,계약직
(주)에프앤엘코퍼레이션,[F&L Corp] 품질 관리자(QA&QC),홈페이지 지원,"QA, QC, 품질보증, 식음료",서울영등포구,경력4년↑,학력무관,정규직
(주)레보텍,자동차 신뢰성 시험 신입 및 경력자 모집(전기전자 전공자우대),입사지원,"CRM(임상연구전문가), 미생물, 세포실험, 수질분석, 시료분석",경기용인시 처인구,신입·경력,초대졸↑,정규직·계약직
아남전자(주),아남전자(주) 베트남유한회사  품질부문 채용,입사지원,"품질검사원, 품질분석, 품질관리, 품질보증, 전기",아시아·중동베트남,경력10년↑,대졸↑,정규직
(주)디오에프연구소,[DOF] 영업본부 영업기획 채용,입사지원,"영업관리, 영업전략, 의료기기영업, 영업, 기타제조업",서울성동구,경력 8~15년,대졸↑,정규직
(주)동아테크놀로지,기업 부설 연구소 연구원 모집,입사지원,"R&D, R&D기획, 사업기획, 사업관리, 자동차부품",울산울주군,경력무관,대졸↑,정규직
(주)다래전략사업화센터,"기술가치평가, 사업성/시장성/경제성분석 신입/경력 모집",입사지원,"사무직, 기술사업화, 특허관리, IP(지식재산권), 연구소",서울강남구,경력무관,대졸↑,정규직·인턴직
아남전자(주),아남전자(주) 베트남유한회사  구매부문 채용,입사지원,"구매관리, 구매기획, 조달전략, 전기, 전자",아시아·중동베트남,경력10년↑,대졸↑,정규직
(주)다래전략사업화센터,창업성장본부 액셀러레이팅 업무 신입 · 경력 모집,입사지원,"엑셀러레이팅, 인큐베이팅, 창업컨설팅, 연구소, 컨설팅",서울강남구,경력무관,대졸↑,계약직
(주)코빗,(주)코빗 시장감시 운영 담당자 채용,홈페이지 지원,"금융사무, 소프트웨어개발",서울강남구,경력 2~7년,대졸↑,정규직
(주)코빗,(주) 코빗 STR 담당자 채용,홈페이지 지원,"금융사무, 소프트웨어개발",서울강남구,경력2년↑,대졸↑,정규직
선일쉬핑(주),"무역,국제물류 업무팀 모집(러어/중국어가능자) - 청주근무",입사지원,"포워더, 국제물류, 해상운송",충북청주시 흥덕구,신입,고졸↑,정규직
(주)채정,[정직유부] 프랜차이즈 슈퍼바이저(서울 담당) 채용공고,입사지원,"영업관리, 영업지원, 영업직, 영업판촉, 슈퍼바이저",서울금천구,경력무관,학력무관,정규직
선일쉬핑(주),포워딩 업무 경력자 모집 - 인천근무,입사지원,"포워더, 국제물류, 해상운송",인천연수구,신입,고졸↑,정규직
(주)에스엠비코퍼레이션,[연구원] 연구개발 경력자 채용,입사지원,"연구원, CRM(임상연구전문가), R&D, R&D기획, 고분자",경기김포시,경력 8~12년,대졸↑,정규직
숙명여자대학교,[숙명여자대학교] 에너지·소재 석사 후 연구원 모집 공고,입사지원,"연구원, 기술연구, 대학교",서울용산구,경력무관,석사↑,위촉직
(주)싸이트플래닝건축사사무소,"도시공학& 데이터분석 공고 모집  (정규직, 경력직)",입사지원,"도시설계, 건축",부산동구,경력3년↑,대졸↑,정규직
(주)나도기브,경영컨설턴트 연구원 모집(신입/경력),입사지원,"전략기획, 경영컨설팅, 컨설팅, 경영연구소, 연구원",서울송파구,경력무관,대졸↑,정규직
(주)헤렌,[탄탄한 스타트업] (주)헤렌 공비서 CX담당자 채용,입사지원,"CS, CX매니저, 솔루션업체, 소프트웨어개발",서울성동구,경력무관,학력무관,정규직
(주)커뮤니케이션앤컬쳐,[신입가능/빠른성장] 온라인 AMD 모집,입사지원,"기획MD, 리테일MD, 바잉MD, 브랜드MD, 영업MD",서울중구,신입,초대졸↑,계약직
(주)텔로스,[텔로스 안양사무실]R&D팀 - R&D 기획관리 팀원 모집,입사지원,"사업기획, 사업관리, 시장조사, 신사업기획, 자료조사",경기안양시 동안구,경력무관,학력무관,정규직·계약직
(주)아쿠아웍스,수처리 관련 석박사 연구원 공고,입사지원,"대기측정분석사, 환경측정분석사, 수질분석, 대기환경기사, 수질환경기사",대구달성군,경력무관,대졸↑,정규직
(주)뉴라이프그룹,화장품 인체적용시험 연구원 경력 모집,입사지원,"임상시험, 연구원, 임상개발, 임상시험, 학술연구",서울금천구,경력2년↑,대졸↑,정규직
지속가능발전경영센터(주),에너지 관리 및 효율화 정부과제 수행 연구원 모집,입사지원,"연구원, 기후변화, 신재생에너지, 지속가능경영, 컨설팅",서울마포구,경력무관,대졸↑,정규직
(주)유원메디텍,[연구원] 연구센터 연구 R&D 경력무관 모집,입사지원,"연구원, R&D, R&D기획, 기술연구, 세포실험",경기용인시 기흥구,경력무관,대졸↑,정규직
퓨렌스(주),[퓨렌스] 시니어 사업관리(신입직) 채용,입사지원,"사업관리, 개발관리, 프로젝트관리, IT프로젝트, 솔루션업체",서울금천구,경력무관,초대졸↑,정규직
(주)인라이플,[주4.5일근무] 모비온 영업 담당자 채용,입사지원,"영업관리, 영업지원, 영업직, 광고영업, 솔루션기술영업",서울구로구,경력 3~10년,학력무관,정규직
(주)와이브랜즈,[NO 야근] 온라인 도매몰 CS/AMD 모집 (전자 담배 / 신입 가능),입사지원,"B2B, B2C, 거래처관리, 거래처영업, 고객관리",서울성북구,신입·경력,학력무관,정규직
(주)케이드라이브,(주)케이드라이브 B2B영업지원 AM 모집,입사지원,"영업관리, 영업지원, 거래처관리, 데이터분석, 육상운송",서울영등포구,경력3년↑,초대졸↑,정규직
팀스파르타(주),Project Manager (기업교육),홈페이지 지원,"사업기획, PM(프로젝트매니저), 인터넷교육",서울강남구,경력 2~5년,학력무관,계약직
(주)케이드라이브,(주)케이드라이브 경영기획팀 경력직 채용,입사지원,"경영기획, 사업기획, 경영분석, 데이터분석, 예산관리",서울영등포구,신입·경력,대졸↑,정규직
(주)딥파인,[딥파인] 서비스 기획자,입사지원,"브랜드기획, 사업기획, 상품기획, 서비스기획, 앱기획",서울용산구,경력 7~15년,대졸↑,정규직
누아트(주),패션잡화 온라인 MD 채용,입사지원,"기획MD, 브랜드MD, 온라인MD, 구매총괄, 브랜드관리",서울영등포구,경력 2~10년,고졸↑,정규직
누아트(주),디지털/가전 온라인 MD 채용,입사지원,"기획MD, 브랜드MD, 영업MD, 온라인MD, 구매총괄",서울영등포구,경력 1~10년,고졸↑,정규직
(주)굿먼데이,이커머스 온라인MD_아마존,입사지원,"기획MD, 리테일MD, 브랜드MD, 온라인MD, 유통MD",서울강남구,신입·경력,초대졸↑,정규직
(주)브이드림,[브이드림] 전략사업팀 과제 기획 및 운영 부분 채용(서울),입사지원,"경영기획, 사업기획, 데이터분석, 사업개발, 사업관리",서울서초구,경력3년↑,학력무관,계약직
(주)퍼플아이오,사업 개발 및 서비스 기획자(팀장급),입사지원,"브랜드기획, 사업기획, 상품기획, 서비스기획, 전략기획",서울강남구,경력5년↑,대졸↑,정규직
(주)스펙터,Talent Acquisition Manager,입사지원,"ER(노무관리), HR컨설팅, HRM, 복리후생, 실적관리",서울강남구,경력 5~15년,고졸↑,정규직
(주)씨드앤,제품 디자이너 (3년↑),입사지원,"산업디자인, 시각디자인, 컨셉디자인, 패키지디자인, 편집디자인",서울성동구,경력3년↑,고졸↑,정규직
법무법인(유)대륜변호사,[상시채용] 법무법인(유한) 대륜 본사 경력 특허관리담당자 모집,입사지원,"변리사, 사무직, 특허명세사, 문서작성, 사무보조",서울영등포구,경력5년↑,대졸↑,정규직
(주)노트닷컴,LG 공식 파트너 온라인판매점 쇼핑몰관리 AMD 채용공고,입사지원,"영업관리, 영업지원, 영업직, 영업MD, 영업전략",서울성동구,경력무관,초대졸↑,정규직·계약직
(주)사피엔반도체,아날로그 설계(Analog Design) 연구원 채용,입사지원,"R&D, AI(인공지능), 회로설계, 반도체설계, 디스플레이",경기성남시 수정구,신입·경력,석사↑,정규직
노을(주),[노을 주식회사] People Manager,홈페이지 지원,"HRD, HRM, 인사, 바이오, 생명공학",경기용인시 수지구,경력 5~15년,학력무관,정규직
(주)폭스에듀,[폭스에듀] 교육 서비스 기획 담당자 채용 공고,입사지원,"교육기획, 서비스기획, 기획, 초등학교, 중학교",대전유성구,경력무관,학력무관,정규직
(주)와이엔케이바이오코스,부설연구소 연구원 모집 (석사 이상 우대),입사지원,"연구원, 의료기기연구, 의약외품연구, 화장품, 화장품",경기안성시,경력2년↑,대졸↑,정규직
(주)인커스소프트,스마트팩토리 기획·전략 정규직 채용(경력무관),입사지원,"기술기획, 데이터분석, 기획, SI·시스템통합, ERP",서울영등포구,경력무관,학력무관,정규직
(주)노트닷컴,노트북/PC 이커머스 MD/AMD 신입사원 상반기 채용,입사지원,"영업관리, 영업MD, 온라인판매, 컴퓨터판매, 통신기기판매",서울성동구,경력무관,고졸↑,정규직·계약직
일진유화공업(주),[직접입력] 연구소 신입사원모집,입사지원,"고분자, 유기합성, 임상개발, 제제연구, 석유화학",경기화성시,신입,학력무관,정규직
(주)차헬스케어,[전략사업본부] 투자 전략 및 신사업 기획 담당자 채용(팀장급),입사지원,"경영기획, 사업기획, 전략기획, 경영분석, 경영관리",경기성남시 분당구,경력 5~15년,대졸↑,정규직
(주)배럴,[BARREL] 상품기획팀 기획 MD 채용,입사지원,"기획MD, 브랜드기획, 브랜딩, 상품기획, 시장조사",서울용산구,경력 10~15년,초대졸↑,정규직
(주)라이언앤코,[신입/경력/PM급] 경영컨설턴트 모집 [스마트워크 도입],입사지원,"HR컨설팅, 컨설턴트, 경영컨설팅, 컨설팅, 조사분석",서울강남구,신입·경력,대졸↑,정규직
(주)에코마케팅,[에코마케팅] 웹툰 광고 디자이너(일본) 계약직 채용(재택 가능),홈페이지 지원,"광고디자인, 콘텐츠디자인, 만화/웹툰, PhotoShop, 광고기획사",서울송파구,경력,학력무관,계약직
(주)오케이토마토,UI/UX 디자이너 채용합니다.,입사지원,"웹디자인, UI/UX디자인, 소프트웨어개발",서울영등포구,경력5년↑,학력무관,정규직
(주)동구밭,(주)동구밭 브랜드사 해외영업팀 아마존 MD 채용,입사지원,"영업관리, 포워더, 영업마케팅, 영업전략, 온라인판매",서울성동구,경력 2~10년,대졸↑,정규직·계약직
(주)코자,[스탠드오일] 비주얼팀 컨텐츠 디자이너,홈페이지 지원,"광고디자인, 그래픽디자인, 디지털디자인, 모바일디자인, 브랜드디자인",서울성동구,경력 5~8년,학력무관,정규직
(주)문토,[시리즈A투자유치/문토] UI/UX 디자이너 (역삼역도보2분),입사지원,"UI/UX디자인, 서비스기획, 앱기획, PO(프로덕트오너), 커뮤니티",서울강남구,경력2년↑,대졸↑,정규직·계약직
이에이치알앤씨(주),[환경 모니터링] 경력 연구원 모집,입사지원,"연구원, R&D, 시료채취, 환경오염, 환경",인천서구,경력1년↑,대졸↑,정규직
GOPIZZA,[500억투자+] [GOPIZZA] 글로벌관리팀 해외관리담당,입사지원,"관리회계, 연결회계, 재무기획, 재무제표, 재무회계",서울종로구,경력7년↑,학력무관,정규직
(주)문토,[시리즈A투자유치/문토] 서비스 기획자 (역삼역 도보 2분),입사지원,"서비스기획, 커뮤니티",서울강남구,경력5년↑,대졸↑,정규직
(주)바이렉스,[바이렉스] 머신비전 기술영업/ (인사이드)세일즈 엔지니어 채용,입사지원,"기술영업, 솔루션기술영업, 영업마케팅, 영업, 세일즈엔지니어",경기안양시 동안구,경력무관,학력무관,정규직
(주)블루엘리펀트,아이웨어 브랜드 [블루엘리펀트] 오프라인 MD / AMD (1~5년),입사지원,"리테일MD, 브랜드MD, 영업MD, 오프라인MD, 유통MD",서울성동구,경력 1~5년,학력무관,정규직
(주)문토,[시리즈A투자유치/문토] CX 커뮤니티 매니저 (역삼역 도보2분),입사지원,"커뮤니티매니저, 인바운드, CS, CX매니저, 고객관리",서울강남구,신입·경력,대졸↑,정규직
(주)블루엘리펀트,아이웨어 브랜드 [블루엘리펀트] 온라인 MD / AMD (1~5년) 채용,입사지원,"브랜드MD, 온라인MD, AMD, 매출관리, 브랜드관리",서울성동구,경력 1~5년,학력무관,정규직
(주)오양공조기,기술연구소 연구원 모집,입사지원,"연구원, CRM(임상연구전문가), R&D, R&D기획, 기술연구",경기안산시 단원구,신입·경력,대졸↑,정규직
GOPIZZA,[500억투자+] [GOPIZZA] 점포개발팀장 채용,입사지원,"메뉴개발, 식품연구, 제과/제빵사, Haccp, 가공식품",서울종로구,경력 8~13년,학력무관,정규직
새이솔(주),[메가스터디그룹] 새이솔(주) 수능 수학 컨텐츠 연구원 모집,입사지원,"교육컨텐츠개발, 교육컨텐츠기획, 교재개발, 수학, 교재제작·출판",서울서초구,경력무관,대졸↑,정규직
(주)코자,[스탠드오일] 오프라인MD 팀원,입사지원,"리테일MD, 브랜드MD, 오프라인MD, 매출관리, 브랜드관리",서울성동구,경력 3~5년,학력무관,정규직
쉽코트랜스포트(주),포워딩  해상수출입 영업지원 ( CS ) 경력직 모집,입사지원,"해상운송, 포워더, 물류관리, 해상운송",서울영등포구,경력2년↑,대졸↑,정규직
(주)시즐,(주)시즐 사업본부 대구 지사 사업PM 정규직 모집(경력),입사지원,"R&D, 사업기획, 사업관리, 사업PM, NI·네트워크통합",대구달서구,경력3년↑,학력무관,정규직
(주)황제농업회사법인,2025 황제농업회사 - 시트리앙 제주공항점 채용,입사지원,"매장관리, 매장매니저, 고객응대, 매장관리, 쇼핑몰",제주제주시,경력1년↑,학력무관,정규직·계약직
(주)미래비전그룹,과학기술/산업 전략기획 연구지원(RA) 채용,입사지원,"문서작성, 사무보조, 자료조사, 연구원, R&D",서울강남구,경력무관,대졸↑,무기계약직·계약직
(주)해양수산정책기술연구소,자연과학 사회과학 인문과학 연구원 석사급 채용 - 정규직,입사지원,"연구원, R&D기획, 기술연구, 기후변화, 생명과학",광주북구,경력무관,석사↑,정규직
(주)차일디,[패션 스타트업] 상품기획 MD,입사지원,"기획MD, 의류·의상, 패션, 유아의류",서울성동구,경력 3~5년,초대졸↑,정규직
(주)해외인증경영센터,ISO인증 행정사무업무및 의료기기 GMP인증업무,입사지원,"사무행정, 인/허가, RA, 인증심사원, 교육운영",서울구로구,경력1년↑,초대졸↑,정규직
(주)악셀,(주)악셀 신입/경력 R&D 연구원 채용 공고,입사지원,"연구원, 고분자, 광학설계, 신소재, 실험보조",경남진주시,경력무관,고졸↑,정규직
한화컨버전스(주),[한화에너지 컨버전스사업부] 벡엔드(back-end) 개발자 경력,입사지원,"HMI, SCADA, HEIS, PLC",서울중구,경력2년↑,대졸↑,정규직
(주)데이터스프링코리아,[외국계/주1-2일 재택근무] 온라인 리서치 설문화면 구현 매니저,입사지원,"시장조사, 조사분석",서울중구,신입·경력,대졸↑,정규직
(주)오톰,[R&D 정부과제 기획 및 관리] 책임연구원 채용,입사지원,"연구원, R&D, 의료기기연구, 사업기획, 기획",광주북구,경력,학력무관,정규직
(주)엠텍정보기술,(공고연장) 2025년 신재생에너지분야 기술경력직 채용합니다.,입사지원,"전기설계, 회로설계, Hardware, Firmware",전남장성군,경력 3~5년,고졸↑,정규직
아고다트레블오퍼레이션스코리아(유),Agoda 사업전략기획 (Sr.Manager/Manager) 채용 (Seoul based),입사지원,"전략기획, 사업제휴, 호텔, 여행사, 관광",서울중구,경력5년↑,대졸↑,정규직
한국기술신용평가(주),K-TCB 기술평가 전문인력 정규직 채용,입사지원,"기업분석, 기술신용평가, 기술평가, 기술가치평가, TCB",서울서초구,경력무관,대졸↑,정규직
(사)한국산업지능화협회,특수법인 한국산업지능화협회 경력직(주임~대리) 근로자 채용,입사지원,"연구원, R&D, R&D기획, 경영기획, 사업기획",경기성남시 중원구,경력 3~6년,대졸↑,계약직
협동조합한국농산업조사연구소,농산업 정책연구 및 ICT기획분야 정규직 채용,입사지원,"R&D, 전략기획, 리서치, 연구소, 컨설팅",경기안양시 동안구,신입·경력,초대졸↑,정규직
(주)디플로우,[쉘퍼] 온라인MD 경력직 채용,입사지원,"리테일MD, 영업MD, 온라인MD, 유통MD, 전자상거래",서울서초구,경력 5~10년,초대졸↑,정규직
IPX,[IPX(구.라인프렌즈)] Product MD,홈페이지 지원,"기획MD, 판매, IT·통신기기판매, 문구·팬시, 잡화매장",경기과천시,경력3년↑,학력무관,정규직
(주)지비지에이치,[GBGH] 스포츠브랜드 온라인 MD,입사지원,"온라인MD, 의류·의상, 패션",서울성동구,경력 3~9년,학력무관,정규직
메디사피엔스(주),Bioinformatics(생물정보학) 연구원 채용,입사지원,"R&D, R&D기획, 제약/바이오, 생물정보학, 소프트웨어개발",서울송파구,경력4년↑,석사↑,정규직
(주)티클,[티클] 웹기획 경력자 채용,입사지원,"서비스기획, 앱기획, 웹기획, 소프트웨어개발",경기용인시 수지구,경력3년↑,초대졸↑,정규직
(주)아파트너스,[CAD/적산/illustrator] 도면 분석 및 데이터 산출 사무직 모집,입사지원,"CAD, 컨설팅",광주동구,경력무관,학력무관,정규직
(재)산업경제발전연구원,2025년도 정책연구부 능력있는 경력직 학술연구원을 모집합니다.,입사지원,"연구원, R&D, 기술연구, 신소재, 정책연구",대구북구,경력3년↑,대졸↑,정규직
(주)필리퍼,[연구원 모집] 제품개발 및 연구과제 수행,입사지원,"연구원, R&D, 기술연구, 신소재, 실험보조",대구북구,경력무관,대졸↑,정규직
(주)아이에스에이연구원,대기환경기사 및 대기환경산업기사 채용,입사지원,"연구원, R&D, 대기환경기사, 연구소, 연구원",경기의왕시,경력무관,초대졸↑,계약직
(주)이큐브랩,이큐브랩 경영기획팀 CEO STAFF 인턴 (경력무관),입사지원,"전략기획, 컨설턴트, PL(프로젝트리더), PM(프로젝트매니저), PMO",서울구로구,경력무관,대졸↑,인턴직
(주)브이티코스메틱,[VT코스메틱/리들샷/일본] 일본 오프라인 영업 채용,입사지원,"해외영업, 바이어발굴/관리, 해외영업관리, 해외영업지원, 브랜드MD",서울강남구,경력4년↑,초대졸↑,정규직
(주)핀커스코리아,[화장품 피부임상연구소] 임상시험연구원 경력,입사지원,"R&D, 임상시험, 바이오",서울강남구,경력5년↑,초대졸↑,정규직
(주)덴컴,음성인식 AI 혁신을 이끌 [서비스기획 담당자] 모집,입사지원,"Figma, 상품기획, 서비스기획, 앱기획, 웹기획",서울강남구,경력3년↑,대졸↑,정규직
(주)케어포유,체외진단의료기기 진단키트 연구개발,입사지원,"연구원, 생명과학, 의료기기연구, 임상개발, 임상시험",경기안양시 동안구,경력,대졸↑,정규직
