기업명,최저_연봉,최고_연봉,평균_연봉
에스디바이오센서(주),"3,877만원","7,258만원","6,451만원"
(주)지엠코퍼레이션,"2,761만원","5,821만원","3,978만원"
㈜뉴시스통신사,"3,004만원","7,438만원","5,100만원"
(주)휴런,"3,475만원","8,162만원","6,963만원"
(주)릿지트레이딩그룹,"4,808만원","10,667만원","9,097만원"
(주)네오위즈,"4,275만원","8,966만원","8,350만원"
(주)티지에스,"2,548만원","5,444만원","3,793만원"
인카금융서비스(주),"3,117만원","6,583만원","5,435만원"
(주)지오시스템리서치,"3,243만원","7,432만원","5,729만원"
(주)지아이티,"4,021만원","9,523만원","8,836만원"
(주)라이언앤코,"2,812만원","6,346만원","4,303만원"
(주)엔비티,"4,520만원","10,169만원","8,787만원"
(주)닷코,"2,625만원","5,379만원","4,153만원"
(주)한국정보통계,"2,590만원","5,714만원","3,676만원"
(주)온품,"3,977만원","8,337만원","7,338만원"
(주)애드포러스,"3,594만원","7,989만원","6,854만원"
(주)스튜디오갈릴레이,"3,347만원","7,238만원","5,886만원"
(주)루닛,"3,905만원","9,315만원","8,184만원"
주식회사오프리메드,"2,018만원","4,523만원","2,968만원"
(주)아비커스,"4,235만원","9,864만원","9,034만원"
(주)상상스퀘어,"2,828만원","6,209만원","4,359만원"
현대오토에버(주),"4,392만원","10,177만원","9,407만원"
(주)티피씨인터넷,"3,108만원","7,195만원","5,578만원"
(주)텔로스,"2,710만원","6,157만원","4,168만원"
축산물품질평가원,"3,619만원","7,691만원","6,652만원"
(주)써머스플랫폼,"2,837만원","6,505만원","4,597만원"
(주)이지식스,"3,172만원","7,272만원","5,706만원"
라파라드(주),"2,103만원","5,164만원","2,998만원"
(주)네오플,"4,746만원","10,558만원","9,450만원"
(주)이노시그널,"3,112만원","6,227만원","4,913만원"
(주)파수,"3,186만원","7,284만원","5,773만원"
오마이어스(주),"2,096만원","5,597만원","2,950만원"
딜로이트컨설팅(유),"4,339만원","10,415만원","8,805만원"
(주)하이,"2,768만원","6,681만원","4,426만원"
(주)난소프트,"3,448만원","7,757만원","6,542만원"
(주)더블유위안,"3,165만원","6,787만원","5,552만원"
인포그램(주),"3,329만원","7,081만원","5,516만원"
(주)서북,"2,615만원","5,626만원","3,969만원"
(주)에스와이폴라리스,"3,755만원","8,521만원","7,505만원"
(주)포유디지탈,"2,848만원","5,813만원","4,344만원"
(주)버블콘,"3,172만원","7,047만원","5,586만원"
(주)베이스인 네트웍스,"3,077만원","6,771만원","5,300만원"
(주)로엔코리아,"2,972만원","6,624만원","5,061만원"
(주)에이바이트,"3,088만원","7,074만원","5,493만원"
(주)아이티제이엘,"3,703만원","6,728만원","6,151만원"
주식회사 심플비트,"2,829만원","6,226만원","4,279만원"
(주)메타덱스터,"3,620만원","7,994만원","7,074만원"
(주)타인에이아이,"3,319만원","7,454만원","6,136만원"
(주)커뮤,"3,011만원","6,897만원","5,114만원"
(주)인티그리트,"3,642만원","7,392만원","6,492만원"
(주)슈가힐,"3,097만원","6,427만원","5,366만원"
(주)링크글로벌21,"3,021만원","6,889만원","5,249만원"
(주)아이비피,"3,088만원","7,078만원","5,496만원"
(주)에이엠시지,"3,594만원","7,903만원","7,092만원"
행복쇼핑(주),"2,488만원","5,971만원","3,603만원"
(주)퀀텀인텔리전스,"4,167만원","8,742만원","7,990만원"
엔에이치엔링크(주),"3,076만원","7,416만원","5,319만원"
(주)디엠씨미디어,"3,008만원","7,029만원","5,147만원"
(주)아론티어,"3,786만원","8,639만원","7,604만원"
(주)오상헬스케어,"3,558만원","7,450만원","6,425만원"
(주)오스랩스,"3,084만원","7,199만원","5,324만원"
(주)코보시스,"3,474만원","7,908만원","6,382만원"
(주)창의와탐구,"2,604만원","5,509만원","4,100만원"
(주)리브포워드,"2,965만원","6,121만원","4,561만원"
(주)파스토,"3,937만원","9,164만원","8,098만원"
호전실업(주),"3,361만원","7,301만원","5,823만원"
(주)마스터코리아,"3,815만원","7,373만원","6,823만원"
(주)엔이에스,"2,600만원","6,223만원","4,010만원"
오로라월드(주),"2,796만원","6,293만원","4,534만원"
(주)뉴마핏,"2,628만원","5,340만원","3,619만원"
(주)하이브랩,"2,881만원","6,896만원","4,655만원"
(주)알파코,"2,974만원","6,413만원","5,016만원"
(주)이큐브랩,"3,075만원","6,639만원","5,244만원"
